Fund ID,Fund Description,Country,PrID,Institution,Project Description, USD ," EUR                  2025 1,1 "
29,Transportation,CENTRAL AFRICAN REPUBLIC,2301884,Archidiocèse de Bangui,Land Cruiser LC 300 for the Archbishop of Bangui," $44,000 "," 40,000.00 € "
69,Mass Media,NIGERIA,2305832,Radio Maria Nigeria,Establishing a Radio Network of Radio Maria Nigeria - Jos Substation," $44,000 "," 40,000.00 € "
19,Construction,TANZANIA,2308332,"Missionaries of St Francis de Sales (MSFS)
(Fransalians)","Furnishing and equipment for the new lecture halls and library at Lumen Christi Institute, Arusha (co-financing)"," $82,500 "," 75,000.00 € "
59,Humanitarian Aid,SYRIA,2401354,"Archidiocèse Grec-Melkite (Greek Melchite) Catholique de Homs, Hama et Yabroud (MLC)",Aid to pay rent for 500 needy Christian families from all Churches in Homs- June 2024/ May 2025," $112,200 "," 102,000.00 € "
79,Theological Formation,DEM.REP. CONGO,2402422,Diocèse de Mweka,"Formation 40 seminarians for the Diocese of Mweka, 2024-2025"," $11,000 "," 10,000.00 € "
79,Theological Formation,KENYA,2402805,Diocese of Kitui,"Formation for priests from the Metropolitan area of  Nairobi, Ngong, Machakos, Kitui, Nakuru, Kericho - May & Aug 2025"," $13,200 "," 12,000.00 € "
89,Spiritual Literature,NAMIBIA,2403879,St Charles Lwanga Major Seminary,Support to purchase 500 books for the 2024 academic year for St. Charles Luanga major seminary," $11,000 "," 10,000.00 € "
49,Pastoral Aid,TANZANIA,2403893,Diocese of Kigoma (EPO 2025 priority Diocese),"Contribution towards the formation of  93 catechists at Kasulu Catechetical Training Centre, 2025"," $25,300 "," 23,000.00 € "
19,Construction,PAKISTAN,2403966,Catholic Archdiocese of Karachi,"Construction cofinanced of St Francis Xavier Church at Qayyumabad, St James parish, Bhittai Colony Korangi"," $73,700 "," 67,000.00 € "
69,Mass Media,PAKISTAN,2404726,"Ibn-e-Mariam Vice Province Pakistan - 
Dominican Order (OP)","Media Resources for Dominican House, 153 Ali Block, New Garden
Town, Lahore, Pakistan"," $13,200 "," 12,000.00 € "
19,Construction,TANZANIA,2404787,"The Society of the Divine Savior (SDS)
Salvatorian Fathers and Brothers",Water purification plant for the Salvatorian formation house in Morogoro," $3,300 "," 3,000.00 € "
19,Construction,ZIMBABWE,2405253,Missionary Oblates of Mary Immaculate (OMI),"Construction of St Eugene de Mazenod Chapel in Kensington (Bulawayo, Zimbabwe)"," $30,000 "," 27,272.73 € "
29,Transportation,MOZAMBIQUE,2405335,Congregação das Irmãs da Imaculada Conceição (IIC),Vehicle for the General House of the Congregation of the Sisters of the Immaculate Conception in Cuamba," $28,600 "," 26,000.00 € "
39,Subsistence Aid,BURUNDI,2405395,Soeurs Visitandines,"Existence aid for the Sisters of the Visitation Sainte Marie, St Pierre Claver Parish, Makamba"," $15,180 "," 13,800.00 € "
59,Humanitarian Aid,SYRIA,2405625,Greek Orthodox  Archdiocese of  Lattakia -  Greek Orthodox  Patriarchate of Antioch and All the East,(ORT) Medical Aid for 1171 sick people in Latakia governorate implemented by the Joint Committee of Latakia churches (August 2024 - August 2025)," $75,000 "," 67,567.57 € "
59,Humanitarian Aid,SYRIA,2406000,Greek Melkite (Melchite) Catholic Patriarchate of Antioche & All the East of Alexandria  & of Jerusalem (MLC),Support of the Joint Medical Committee for surgical operations and medical (chronical or not) treatments (January 2025 - December 2025); Damascus Region," $300,000 "," 272,727.27 € "
49,Pastoral Aid,PHILIPPINES,2407037,Silsilah Dialogue Movement,"Two year Training Program for Catechists and Madaris-Teachers, (2025-2026)
"," $22,000 "," 20,000.00 € "
59,Humanitarian Aid,LEBANON,2407406,Assembly of Catholic Patriarchs and Bishops - A.P.E.C.L. (Assemblée des Patriarches et des Evêques-Bishops' Conference),"Emergency support for Catholic Schools due to the war in Lebanon, including stipends for 1,000 teachers - (South of Lebanon, Bekaa, Beirut, Baabda, January - February 2025)"," $330,000 "," 300,000.00 € "
59,Humanitarian Aid,SYRIA,2407465,"Prelate of Armenian Orthodox - Aleppo 
(Prélature/Prelacy Arménienne Orthodox d'Alep)","(ORT) Emergency support for 10 schools belonging to the Armenian Orthodox Archdiocese of Aleppo, including stipends for 665 teachers - (Aleppo, 2024-2025)"," $63,800 "," 57,477.48 € "
